time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
3913.453969	4.476719	1.701024	2.631779	140
3913.453969	4.476719	1.701024	2.631779	141
3914.487008	4.149035	1.679499	2.470401	142
3915.492537	4.171584	1.651041	2.526639	143
3916.528839	4.178348	1.679815	2.487386	144
3917.522855	4.441895	1.695021	2.620554	145
3918.589816	3.983089	1.688825	2.358498	146
3919.578004	4.425192	1.671974	2.646687	147
3920.620621	4.229803	1.700673	2.487136	148
3921.622796	4.373116	1.696779	2.577305	149
3922.655784	4.117016	1.694156	2.430128	150
3923.661042	4.319952	1.692164	2.552917	151
3924.711493	4.078751	1.676140	2.433419	152
3925.706269	4.543019	1.695598	2.679302	153
3926.742962	4.149101	1.668001	2.487469	154
3927.760238	4.351865	1.655996	2.627945	155
3928.793223	4.166507	1.670074	2.494803	156
3929.784938	4.286486	1.657254	2.586498	157
3930.840753	3.914252	1.658293	2.360410	158
3931.825382	4.535348	1.691883	2.680651	159
3932.880124	4.184827	1.681779	2.488334	160
3933.886880	4.647774	1.679723	2.766989	161
3934.920539	4.157483	1.699199	2.446731	162
3935.923214	4.174572	1.637747	2.548972	163
3936.959103	4.161813	1.632831	2.548833	164
3937.970060	4.414018	1.686362	2.617479	165
3939.015812	4.161458	1.644585	2.530401	166
3940.000198	4.402178	1.638804	2.686214	167
3941.056179	3.858786	1.647309	2.342479	168
3942.040744	4.427006	1.697346	2.608193	169
3943.100945	4.071820	1.685719	2.415480	170
3944.092291	4.647980	1.679982	2.766685	171
3945.142737	3.939193	1.672631	2.355087	172
3946.127377	4.683846	1.696899	2.760238	173
3947.187113	4.000536	1.689040	2.368526	174
3948.171293	4.508434	1.660928	2.714406	175
3949.230388	4.096024	1.692184	2.420555	176
3950.223209	4.702144	1.704470	2.758713	177
3951.280218	4.099697	1.693098	2.421417	178
3952.267593	4.501788	1.693827	2.657762	179
3953.320486	4.321701	1.694949	2.549753	180
3954.310363	4.431102	1.684678	2.630237	181
3955.347289	4.268640	1.634194	2.612077	182
3956.365675	4.448505	1.700567	2.615896	183
3957.388227	4.149319	1.662986	2.495101	184
3958.401694	4.555215	1.686620	2.700796	185
3959.438890	4.095281	1.693498	2.418239	186
3960.442757	4.856590	1.702110	2.853276	187
3961.497942	4.032428	1.702759	2.368173	188
3962.473297	4.624756	1.692461	2.732563	189
3963.538725	4.275511	1.677394	2.548901	190
3964.528328	4.377585	1.694682	2.583131	191
3965.569380	4.306757	1.663952	2.588271	192
3966.583707	4.476746	1.687922	2.652224	193
3967.608750	4.127920	1.692583	2.438829	194
3968.609603	4.713563	1.668140	2.825641	195
3969.671029	4.003466	1.689010	2.370303	196
3970.654622	4.581320	1.667182	2.747943	197
3971.704851	4.265446	1.681768	2.536287	198
3972.697380	4.417875	1.694169	2.607695	199
3973.746018	4.556572	1.691665	2.693542	200
3974.749364	4.424332	1.690127	2.617751	201
3975.778135	4.264085	1.687565	2.526768	202
3976.798309	4.460914	1.675034	2.663178	203
3977.835045	4.189862	1.697445	2.468334	204
3978.827166	4.781680	1.689837	2.829670	205
3979.884343	4.042332	1.693193	2.387402	206
3980.871661	4.753851	1.692746	2.808367	207
3981.931336	4.090318	1.692926	2.416123	208
3982.907169	4.745723	1.695456	2.799083	209
3983.968360	4.097065	1.674798	2.446304	210
3984.960084	4.651417	1.691904	2.749220	211
3986.009347	4.157608	1.689189	2.461305	212
3986.996211	4.661432	1.695051	2.750026	213
3988.052387	4.148781	1.691113	2.453285	214
3989.045841	4.597237	1.695768	2.711006	215
3990.104408	4.171488	1.692171	2.465170	216
3991.081714	4.702069	1.698973	2.767595	217
3992.142381	4.199142	1.692979	2.480327	218
3993.133674	4.609693	1.674060	2.753601	219
3994.187407	4.122081	1.671634	2.465899	220
3995.180693	4.771567	1.675887	2.847189	221
3996.226612	4.215322	1.688322	2.496752	222
3997.222271	4.632325	1.696289	2.730859	223
3998.257649	4.263641	1.683408	2.532743	224
3999.276691	4.443748	1.673291	2.655693	225
4000.306552	4.414750	1.678992	2.629405	226
4001.308413	4.534024	1.692733	2.678523	227
4002.349549	4.201754	1.647710	2.550056	228
4003.344403	4.517169	1.673071	2.699927	229
4004.407152	4.282594	1.700594	2.518292	230
4005.385098	4.748516	1.694496	2.802317	231
4006.448472	4.182929	1.698573	2.462613	232
4007.433651	4.767307	1.692617	2.816530	233
4008.476785	4.258855	1.691675	2.517538	234
4009.492645	4.520279	1.683784	2.684596	235
4010.515193	4.434210	1.706963	2.597719	236
4011.527686	4.594119	1.695640	2.709372	237
4012.561156	4.499885	1.685195	2.670246	238
4013.564927	4.508037	1.685779	2.674157	239
