time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
3194.961721	7.580505	4.301770	1.762183	206
3195.985435	7.173504	4.327006	1.657845	207
3197.027238	7.576067	4.329054	1.750051	208
3198.026918	7.351085	4.330132	1.697659	209
3199.058957	7.562330	4.311100	1.754154	210
3200.067338	7.731094	4.353469	1.775847	211
3201.091058	7.775908	4.298217	1.809101	212
3202.117626	7.103414	4.304998	1.650039	213
3203.140305	7.942200	4.327462	1.835302	214
3204.154133	7.702671	4.340553	1.774583	215
3205.192042	7.907104	4.339995	1.821916	216
3206.189289	7.802659	4.329364	1.802264	217
3207.238360	7.820418	4.349506	1.798002	218
3208.235171	7.686657	4.320586	1.779078	219
3209.281382	7.928998	4.331467	1.830557	220
3210.270766	8.477963	4.330740	1.957625	221
3211.323348	7.692288	4.333088	1.775244	222
3212.324552	7.903598	4.314294	1.831956	223
3213.353043	7.824249	4.337185	1.803992	224
3214.356432	8.425179	4.328687	1.946359	225
3215.395980	8.066265	4.308218	1.872298	226
3216.405860	8.346045	4.334929	1.925302	227
3217.449933	8.341817	4.354752	1.915567	228
3218.437692	8.610958	4.331435	1.988015	229
3219.493435	7.988189	4.333840	1.843213	230
3220.481817	8.205457	4.301971	1.907372	231
3221.522340	8.697885	4.311088	2.017562	232
3222.539699	8.060221	4.335275	1.859218	233
3223.555568	9.302940	4.329444	2.148761	234
3224.582011	8.069719	4.305968	1.874078	235
3225.594002	9.180504	4.329022	2.120688	236
3226.623465	8.505890	4.337649	1.960945	237
3227.652055	8.660066	4.357153	1.987552	238
3228.661726	8.893522	4.340142	2.049132	239
3229.694836	8.864675	4.336297	2.044296	240
3230.691779	8.910389	4.304666	2.069938	241
3231.734486	8.782894	4.298734	2.043135	242
3232.752604	8.339916	4.347551	1.918302	243
3233.772431	9.480871	4.322795	2.193227	244
3234.802823	8.800041	4.327548	2.033494	245
3235.808900	9.134287	4.312517	2.118087	246
3236.829861	9.086642	4.336569	2.095353	247
3237.858032	9.235233	4.326020	2.134810	248
3238.868125	9.357377	4.331748	2.160185	249
3239.907564	9.191429	4.336774	2.119416	250
3240.904395	8.886833	4.323183	2.055623	251
3241.944322	9.589979	4.315023	2.222463	252
3242.963654	8.762059	4.352765	2.012987	253
3243.976480	10.354899	4.336903	2.387625	254
3245.002844	9.436755	4.340425	2.174155	255
3246.018431	10.065912	4.348962	2.314555	0
3247.058872	8.710020	4.319078	2.016639	1
3248.063061	9.836716	4.345600	2.263604	2
3249.087154	9.438050	4.325634	2.181889	3
3250.104287	9.766059	4.342423	2.248988	4
3251.135164	9.377748	4.325583	2.167974	5
3252.156816	9.625140	4.310011	2.233206	6
3253.169134	9.685557	4.321289	2.241358	7
3254.199890	9.672302	4.332307	2.232599	8
3255.214446	9.847653	4.328745	2.274944	9
3256.242114	9.843883	4.343573	2.266310	10
3257.257602	9.207031	4.326225	2.128191	11
3258.271800	10.091802	4.325636	2.333022	12
3259.298608	9.869930	4.309305	2.290376	13
3260.324529	10.528554	4.323109	2.435413	14
3261.338478	9.974318	4.332354	2.302286	15
3262.364104	10.495628	4.326897	2.425671	16
3263.374349	9.926524	4.305743	2.305415	17
3264.420603	9.895708	4.331090	2.284808	18
3265.420753	10.118028	4.352581	2.324604	19
3266.455650	10.338872	4.336797	2.383988	20
3267.458254	10.684982	4.299566	2.485131	21
3268.491583	10.278208	4.341804	2.367267	22
3269.516990	10.019378	4.308792	2.325333	23
3270.536117	10.095492	4.307484	2.343710	24
3271.553339	10.507762	4.332894	2.425114	25
3272.569967	11.448143	4.347692	2.633154	26
3273.593265	10.537320	4.331607	2.432659	27
3274.619375	10.771561	4.327459	2.489119	28
3275.627465	10.376437	4.326384	2.398409	29
3276.676026	10.382197	4.313015	2.407179	30
3277.675688	10.571073	4.329854	2.441438	31
3278.710993	10.702360	4.315235	2.480134	32
3279.712898	10.933630	4.304680	2.539940	33
3280.747828	10.329632	4.341709	2.379163	34
3281.769679	10.656866	4.345393	2.452451	35
3282.785263	10.751975	4.324369	2.486368	36
3283.805917	10.884903	4.303597	2.529257	37
3284.825919	11.159250	4.300077	2.595128	38
3285.861549	10.515814	4.306364	2.441924	39
3286.876609	10.856291	4.322881	2.511356	40
3287.893101	10.788445	4.294407	2.512208	41
3288.907616	11.596043	4.347953	2.667012	42
3289.935981	10.788347	4.330142	2.491454	43
3290.951032	11.329425	4.322829	2.620836	44
3291.988942	10.842787	4.354752	2.489875	45
3293.003673	11.520921	4.326502	2.662872	46
3294.021657	10.719839	4.303863	2.490748	47
3295.046351	11.260954	4.324533	2.603970	48
3296.073357	10.865844	4.315705	2.517745	49
3297.078169	11.936207	4.331407	2.755734	50
3298.115640	11.127583	4.322508	2.574335	51
3299.122782	11.541598	4.331910	2.664321	52
3300.147907	11.710628	4.293513	2.727516	53
3301.176784	11.468609	4.324244	2.652165	54
3302.187006	11.856157	4.336538	2.734015	55
3303.212284	11.670899	4.327322	2.697026	56
3304.225104	11.981454	4.328740	2.767885	57
3305.269182	11.407711	4.328897	2.635247	58
3306.263903	12.207301	4.332057	2.817900	59
3307.314797	11.488577	4.329193	2.653746	60
3308.305179	11.916809	4.333804	2.749734	61
3309.355986	11.843389	4.329276	2.735651	62
3310.351097	12.056900	4.293434	2.808218	63
3311.383931	12.460427	4.315047	2.887669	64
3312.399794	11.866256	4.305835	2.755855	65
3313.430228	12.429427	4.339075	2.864534	66
3314.446431	11.761450	4.341915	2.708816	67
3315.462076	12.307662	4.327843	2.843833	68
3316.488699	12.229825	4.326801	2.826528	69
3317.507526	12.433395	4.335004	2.868140	70
3318.535120	12.335886	4.322676	2.853762	71
3319.564212	12.297948	4.316376	2.849138	72
3320.573519	12.535602	4.334521	2.892039	73
3321.601864	12.276524	4.329883	2.835302	74
3322.604580	12.804633	4.316811	2.966226	75
3323.655092	12.141849	4.310008	2.817129	76
3324.656052	12.475230	4.324111	2.885039	77
3325.696925	12.244639	4.319158	2.834960	78
3326.699348	12.504713	4.327848	2.889361	79
3327.728605	12.743909	4.328427	2.944236	80
3328.743859	12.495623	4.310903	2.898609	81
3329.778871	12.812113	4.323251	2.963537	82
3330.778815	12.676854	4.301422	2.947131	83
3331.810592	13.122307	4.310442	3.044307	84
3332.822194	12.806514	4.321773	2.963255	85
3333.862318	12.987127	4.317851	3.007776	86
3334.874591	12.700764	4.336792	2.928608	87
3335.895295	13.440763	4.315845	3.114283	88
3336.907223	13.040046	4.303897	3.029823	89
3337.948812	13.076678	4.311514	3.032967	90
3338.947451	13.119508	4.297671	3.052702	91
3339.981970	13.372124	4.342832	3.079125	92
3340.989626	13.349754	4.335413	3.079235	93
3342.027777	13.488108	4.326361	3.117657	94
3343.030436	13.417888	4.324016	3.103108	95
3344.071461	13.276212	4.337129	3.061060	96
3345.083059	13.512855	4.328532	3.121810	97
3346.122964	13.114453	4.332401	3.027064	98
3347.115901	13.838594	4.338688	3.189581	99
3348.163895	12.995610	4.323031	3.006134	100
3349.161262	14.076909	4.334777	3.247436	101
3350.203558	13.335799	4.318962	3.087733	102
3351.208032	13.810218	4.330510	3.189052	103
3352.232623	13.826882	4.289915	3.223113	104
3353.263776	13.459265	4.318860	3.116393	105
3354.282466	13.528810	4.342784	3.115239	106
3355.298698	13.900476	4.328494	3.211389	107
3356.315478	14.321878	4.311952	3.321438	108
3357.339333	13.593000	4.330878	3.138625	109
3358.370956	13.905441	4.307117	3.228481	110
3359.387357	13.732626	4.329892	3.171586	111
3360.408023	13.962894	4.344582	3.213864	112
3361.417231	14.351198	4.336611	3.309312	113
3362.454199	13.897009	4.318659	3.217899	114
3363.467187	13.886997	4.315393	3.218015	115
3364.497857	13.948063	4.326868	3.223594	116
3365.500064	14.467937	4.322309	3.347271	117
3366.540218	13.998002	4.333632	3.230086	118
3367.543463	14.297501	4.303661	3.322172	119
3368.591283	13.958641	4.328735	3.224647	120
3369.587106	15.011988	4.325048	3.470942	121
3370.623227	14.210397	4.326320	3.284639	122
3371.639967	14.498904	4.320105	3.356146	123
3372.675461	14.083549	4.312376	3.265844	124
3373.673430	14.919992	4.323619	3.450811	125
3374.709119	14.359904	4.344976	3.304945	126
3375.724983	14.690177	4.327896	3.394300	127
3376.761520	14.054237	4.294838	3.272356	128
3377.756972	15.220437	4.334541	3.511430	129
3378.796050	14.311233	4.319739	3.312985	130
3379.799096	14.961095	4.322194	3.461459	131
3380.839335	14.886284	4.315516	3.449479	132
3381.851051	14.714069	4.315825	3.409329	133
3382.891377	14.434951	4.321501	3.340264	134
3383.885155	15.117188	4.325990	3.494504	135
3384.922369	15.057370	4.301075	3.500839	136
3385.940173	14.793557	4.339915	3.408721	137
3386.970791	14.956306	4.301353	3.477117	138
3387.976979	14.998810	4.311129	3.479091	139
3389.010010	15.238803	4.333829	3.516245	140
3390.032954	14.921736	4.322804	3.451865	141
3391.041297	15.637267	4.308415	3.629471	142
3392.076955	14.719897	4.300112	3.423143	143
3393.093174	14.986944	4.305943	3.480525	144
3394.107853	15.671818	4.342194	3.609193	145
3395.129328	15.484965	4.323725	3.581395	146
3396.148573	15.772253	4.323642	3.647909	147
3397.184205	15.275830	4.329150	3.528598	148
3398.188238	15.929245	4.325373	3.682745	149
3399.219606	15.389242	4.329905	3.554176	150
3400.228808	16.045794	4.331373	3.704552	151
3401.273783	15.211244	4.325916	3.516306	152
3402.279888	15.930943	4.320493	3.687298	153
3403.307991	15.502854	4.289414	3.614213	154
3404.321613	15.841800	4.328463	3.659914	155
3405.350821	15.041355	4.310573	3.489410	156
3406.365099	15.992174	4.325963	3.696790	157
3407.393915	15.836712	4.309339	3.674975	158
3408.396527	16.329802	4.326647	3.774240	159
3409.436778	15.541426	4.314836	3.601858	160
3410.439735	16.344198	4.305960	3.795715	161
3411.489475	15.585377	4.321266	3.606669	162
3412.492469	16.052322	4.317079	3.718330	163
3413.522887	15.927816	4.339643	3.670306	164
3414.525095	16.742004	4.332263	3.864494	165
3415.566036	15.782709	4.296115	3.673716	166
3416.569304	16.378355	4.299195	3.809633	167
3417.617088	15.827275	4.328454	3.656566	168
3418.612118	16.796204	4.328381	3.880482	169
3419.649118	16.219254	4.339654	3.737453	170
3420.656315	16.881710	4.325222	3.903086	171
3421.690663	16.394011	4.340512	3.776976	172
3422.710441	16.397640	4.322862	3.793237	173
3423.740847	15.991478	4.314200	3.706708	174
3424.745503	17.175257	4.322218	3.973714	175
3425.772111	16.483889	4.298286	3.834991	176
3426.790316	16.776730	4.321465	3.882186	177
3427.822321	16.418825	4.334915	3.787578	178
3428.845045	16.449314	4.340523	3.789708	179
3429.853996	16.880861	4.346232	3.884022	180
3430.878629	16.839699	4.309526	3.907552	181
3431.896911	17.118074	4.332265	3.951299	182
3432.929753	16.250763	4.290129	3.787943	183
3433.942167	17.004242	4.299719	3.954733	184
3434.960179	17.161110	4.328262	3.964896	185
3435.988457	16.917591	4.325062	3.911526	186
3437.009314	16.725908	4.315393	3.875872	187
3438.034277	16.828875	4.331496	3.885234	188
3439.040771	17.253208	4.309805	4.003246	189
3440.088275	16.870573	4.334276	3.892363	190
3441.091478	17.179710	4.318306	3.978345	191
3442.122238	16.725977	4.316683	3.874729	192
3443.134280	17.242815	4.331253	3.981023	193
3444.164579	17.093739	4.324944	3.952361	194
3445.177569	17.560852	4.342181	4.044247	195
3446.206965	16.938274	4.297904	3.941055	196
